"Epic","Summary","Issue Type","Description","Estimate","Dependencies","Labels"
"Scene Builder & Timeline","Prompt enhancement pipeline integration","Story","Integrate brain + beat + continuity context into prompt flow for all generate calls.","M","Continuity/Brain/Format APIs; prompt service","storyforge;scene-builder"
"Scene Builder & Timeline","Generate options + generate more","Story","Return 2â€“3 options per generate and support 'generate more' action.","M","Generation orchestrator","storyforge;scene-builder"
"Scene Builder & Timeline","Lock/unlock with version history","Story","Persist scene locks/unlocks with saved versions and ability to restore.","M","Scenes backend API; storage for versions","storyforge;scene-builder"
"Scene Builder & Timeline","Timeline reorder UI + persistence","Story","Allow drag/drop reorder of scenes and persist order to project service.","S","Project service ordering endpoint","storyforge;scene-builder"
"Scene Builder & Timeline","Storyboard preview behind Beta flag","Story","Expose storyboard/keyframe preview behind feature flag for Beta users.","M","Storyboard generator; feature flag service","storyforge;scene-builder;beta-flag"
"Scene Builder & Timeline","UI perf budget instrumentation","Task","Instrument p95 UI latency (<200ms) for generate/lock actions and report.","S","Frontend telemetry","storyforge;scene-builder;perf"
"Scene Builder & Timeline","QA test plan for editor flows","Task","Author and execute QA plan for editor core flows (generate, lock, reorder).","S","QA","storyforge;scene-builder;qa"
"Continuity & Character Lock","Character create with embeddings","Story","Support upload/generate characters, store embeddings/appearance, persist refs.","M","Embedding model; vector DB; S3","storyforge;continuity"
"Continuity & Character Lock","Auto-inject characters into prompts","Story","Inject character continuity into all generation requests automatically.","M","Orchestrator hook","storyforge;continuity"
"Continuity & Character Lock","Consistency scoring per scene","Story","Compute/report consistency score per scene and surface in UI.","M","Scoring pipeline; UI surface","storyforge;continuity"
"Continuity & Character Lock","Continuity v2 (location/time/props)","Story","Track location, time-of-day, props and surface issues by Beta.","L","Detection models; state store","storyforge;continuity"
"Continuity & Character Lock","Continuity dashboard","Story","UI dashboard highlighting continuity issues and scores.","M","Continuity API; UI","storyforge;continuity"
"Continuity & Character Lock","Consistency >90% validation","Task","Validate >90% consistency on Launch test set.","S","QA/ML eval","storyforge;continuity;qa"
"Cinematic Brains & Format Templates","Brain gallery UI with previews","Story","Gallery to view/select brains with preview assets.","M","Brain metadata service; assets","storyforge;brains"
"Cinematic Brains & Format Templates","Ship brains (3 Alpha -> 8 Beta)","Story","Deliver 3 brains for Alpha and expand to 8 by Beta.","L","Training/curation","storyforge;brains"
"Cinematic Brains & Format Templates","Format templates with beats","Story","Deliver 5 templates with beat generation and editing.","M","LLM beat generator; format service","storyforge;formats"
"Cinematic Brains & Format Templates","Beat-to-scene linkage","Story","Link beats to scenes in timeline; show gaps.","M","Project/timeline API","storyforge;formats"
"Cinematic Brains & Format Templates","Style mixing behind Pro/Studio flag","Story","Enable style mixing gated to Pro/Studio via feature flag.","M","Feature flag; mixing pipeline","storyforge;brains;pro"
"Export Engine","MP4 16:9 export (Alpha)","Story","Enable MP4 16:9 export for locked scenes (Alpha scope).","M","Transcoding pipeline; storage/CDN","storyforge;export;alpha"
"Export Engine","Add vertical/cinematic presets (Beta)","Story","Add TikTok/Reels/Stories 9:16 and Cinematic 2.39:1 exports.","M","Preset configs; transcoder","storyforge;export;beta"
"Export Engine","Safe-zone preview overlay","Story","Show safe-zone overlay per aspect before export.","S","Frontend player overlay","storyforge;export"
"Export Engine","Render queue status + retries","Story","Expose render queue statuses and allow retries with error reporting.","M","Queue infra; jobs API","storyforge;export"
"Export Engine","Export success SLO monitoring","Task","Monitor export success >80% Beta / >90% Launch.","S","Observability stack","storyforge;export;slo"
"Provider Routing & Fallbacks","Primary Runway routing","Story","Route to Runway with health checks and circuit breaker.","M","Runway API; orchestrator","storyforge;providers"
"Provider Routing & Fallbacks","Sora/Kling fallback paths","Story","Implement fallbacks to Sora/Kling with feature flags.","M","Vendor APIs; flags","storyforge;providers"
"Provider Routing & Fallbacks","Storyboard fallback via Stability","Story","Use Stability image-to-video when video is throttled.","M","Stability API","storyforge;providers"
"Provider Routing & Fallbacks","Log provider_route + safety_mode","Task","Log provider_route/safety_mode; alert on fallback >20%.","S","Telemetry/alerts","storyforge;providers;observability"
"Provider Routing & Fallbacks","Cost/health dashboards","Task","Dashboards for cost and provider health with alerts.","S","Monitoring stack","storyforge;providers;ops"
"Safety & Compliance","Prompt moderation + NSFW filter","Story","Moderate prompts/outputs per policy.","M","Moderation provider; policy","storyforge;safety"
"Safety & Compliance","Mature-aesthetic toggle","Story","Project-level toggle stored/logged; relaxes style filters only.","S","Settings UI/API; logging","storyforge;safety"
"Safety & Compliance","Watermark/origin tracking","Story","Apply watermark/origin metadata to outputs.","M","Transcoder/post-process","storyforge;safety"
"Safety & Compliance","DMCA/report workflow","Story","Implement DMCA/report handling and internal flow.","M","Support tooling/process","storyforge;safety;compliance"
"Safety & Compliance","Audit log for safety overrides","Task","Audit log entries for all safety overrides/toggles.","S","Logging store","storyforge;safety;compliance"
"Billing, Credits, Promotions","Stripe plans (Creator/Pro/Studio)","Story","Implement Stripe checkout and entitlements for plans.","M","Stripe; entitlements service","storyforge;billing"
"Billing, Credits, Promotions","Credit wallet + metering + alerts","Story","Debit credits for gen/export; show balance; alert at 80%.","M","Billing service; notifier","storyforge;billing"
"Billing, Credits, Promotions","Promotions (Founding/Student)","Story","Apply promo pricing/limits for Founding Creator & Student.","S","Promo rules in billing","storyforge;billing;promo"
"Billing, Credits, Promotions","Receipts/refunds + audit log","Story","Send receipts, handle refunds, record audit log.","S","Billing provider","storyforge;billing"
"Marketplace Foundation","Browse/search + asset details","Story","Browse/search marketplace and view asset detail pages.","M","Marketplace API; assets","storyforge;marketplace"
"Marketplace Foundation","Purchase via credits + entitlement","Story","Purchase assets with credits and deliver entitlements.","M","Billing/credits; entitlements","storyforge;marketplace"
"Marketplace Foundation","Upload/review with moderation","Story","Upload pipeline with review/approval and moderation hooks.","M","Storage; review workflow; moderation","storyforge;marketplace"
"Marketplace Foundation","Payout tracking (70/30)","Story","Track creator payouts with 70/30 split.","M","Payout subsystem/ledger","storyforge;marketplace;payouts"
"Analytics & Observability","Implement event taxonomy","Story","Emit events incl. safety_setting_changed, provider_route, cache_hit.","M","Analytics SDK/event bus","storyforge;analytics"
"Analytics & Observability","Dashboards (4 pillars)","Story","Dashboards for Activation/Reliability/Revenue/Engagement.","M","Amplitude/Grafana/Looker","storyforge;analytics;dashboards"
"Analytics & Observability","Alerts for core SLOs","Story","Alerts: p95 gen >90s, export <80%, provider fallback >20%, payments >3%.","S","Alerting stack","storyforge;analytics;alerts"
"Analytics & Observability","Tracing with request IDs","Story","Tracing with request IDs across services; searchable logs.","M","Tracing middleware","storyforge;analytics;observability"
"Infrastructure & Performance","Multi-AZ + autoscaling","Story","Set up multi-AZ and autoscaling for core services.","M","Terraform; K8s","storyforge;infra"
"Infrastructure & Performance","Redis L1 + vector L2 caching","Story","Deploy Redis L1 and vector L2 caches; report hit rates.","M","Redis; vector DB","storyforge;infra;caching"
"Infrastructure & Performance","Performance tuning to targets","Story","Optimize to p95 gen <90s Beta / <75s stretch.","L","Profiling; caching; routing","storyforge;infra;performance"
"Infrastructure & Performance","Load tests 1K/10K with reports","Story","Run load tests to 1K (Beta) and 10K (Launch prep) and report results.","M","Load tools; staging env","storyforge;infra;testing"
"Mobile Web Experience","Mobile preview + controls","Story","Mobile preview plus lock/variation/export triggers working.","M","Frontend; API parity","storyforge;mobile"
"Mobile Web Experience","Responsive validation","Story","Validate responsive layouts on target devices.","S","Device matrix; QA","storyforge;mobile;qa"
"Mobile Web Experience","Desktop CTA for full editing","Story","CTA to continue on desktop for full editing controls.","S","UI update","storyforge;mobile"
"GTM & Launch Ops","Code freeze + go/no-go checklist","Story","Execute code freeze and go/no-go checklist at T-5.","S","Release calendar","storyforge;gtm"
"GTM & Launch Ops","PH listing + press briefings","Story","Stage Product Hunt listing and schedule press briefings T-3 with assets.","M","Assets; PR schedule","storyforge;gtm;launch"
"GTM & Launch Ops","Creator seeding (50) with credits","Story","Seed 50 creators with credits and Day 0 content ask.","M","Billing credits; roster","storyforge;gtm;creators"
"GTM & Launch Ops","Support FAQ + incident comms + targets","Story","Publish FAQ/runbooks; test incident comms; track Day 0 targets.","M","Support tooling; analytics","storyforge;gtm;support"
